title,artist,first line,filename,Reference,Indices
'Abdu'l-Baha,"Losey, Elaine","'Abdu'l-Baha, 'Abdu'l-Baha",Abdu'l-Baha,Abdu'l-Baha,Holy Words:Children's Songs
"Ali, You Are the Bab","Taylor, Brice","Ali, You are the Bab",Ali You Are the Bab,Ali You Are the Bab,Children's Songs
Allah-Hummah (in Arabic),"Khadem-Missagh, Bijan","Allah-Hummah, Ya Subbu-hun",Allah Humma,Allah Humma,Holy Words:Non-English Lyrics
Angels of Fire and Snow,"Lincoln, Joan","Angels, Oh Angels",Angels of Fire and Snow,Angels of Fire and Snow,Holy Words
Arise Ye Under All Conditions,"Hinson, KJ Cruz","Arise ye, under all conditions",Arise Ye Under All Conditions,Arise Ye Under All Conditions,Holy Words
At the Gate of the Garden,"Lincoln, Joan",At the gate of the garden,At the Gate of the Garden,At the Gate of the Garden,Holy Words
Bab Has Opened Up the Gate,"Horton, Treneater C.",The Bab has opened up the gate.,Bab Has Open up the Gate,Bab Has Open up the Gate,Children's Songs
Babala Gumbala (African),Unknown,Babala Gumbala,Babala Gumbala,Babala Gumbala,Children's Songs:Non-English Lyrics
Baha'i Fund Song,"McClellan, Mimi","Give a little, give a lot",Baha'i Fund song,Baha'i Fund song,Children's Songs
Baha'u'llah,"Haley, Creadell","Baha'u'llah, Baha'u'llah",Baha'u'llah,Baha'u'llah,Holy Words:Children's Songs
Baha'u'llah's Birthday,"McClellan, Mimi",Do you know what we remember,Baha'u'llah's Birthday,Baha'u'llah's Birthday,Holy Words:Rounds & Echo Songs
Be Thou Content With Me,"Hosack, Leona",O Son of Man!  Be thou content with me,Be Thou Content with Me,Be Thou Content with Me,Holy Words
Benediction,"Waite, Louise R.",May God's Love now hover o'er us,Benediction,Benediction,
Blessed is the Spot,"Hahn, Elizabeth","Blessed is the spot, and the house",Blessed is the Spot EN,Blessed is the Spot EN,Holy Words:Children's Songs
Building Me a Home,Unknown,"If you hear me singin', I'm buildin' be a home",Building Me a Home,Building Me a Home,Children's Songs
Cause Me to Taste The Divine Sweetness,"Gilmer, Van","Cause me to taste, O my Lord",Cause Me to Taste,Cause Me to Taste,Holy Words
Come Seek Baha'u'llah ,"Van Kley, Cindy","Come seek Baha'u'llah, knowin' he's the Glory of God",Come Seek Baha'u'llah,Come Seek Baha'u'llah,Rounds & Echo Songs
Consultation,"McClellan, Mimi",Consultation means finding out,Consultation,Consultation,Children's Songs
Dance Goes On,Unknown,Round and round we go.  We hold each other's hand,Dance goes on,Dance goes on,
Declarant's Welcome Song,"Horton, Treneater C.",Today you took the right step.,Declarant's Welcome Song,Declarant's Welcome Song,
Did You Ever Wonder,"Engle, Susan",Did you ever wonder why God gave us mothers and fathers?,Did You Ever Wonder,Did You Ever Wonder,Children's Songs
Down Down,"Brown, Elisa",Why do I smile when I raise my sleepy head?,"Down, Down","Down, Down",
Eve Song,"Taylor, Brice",Like the promise of a rainbow,Eve's Song,Eve's Song,
Fellowship Fellowship,Unknown,"Fellowship, fellowship, love, love, unity",Fellowship Fellowship,Fellowship Fellowship,Children's Songs
"Fill Thou, O God, My Home","Townshend, George","Fill Thou, O God, my home","Fill Thou, O God, My Home","Fill Thou, O God, My Home",
Forgive Each Other,"Rinaldi,Wiley",Forgive each other and be kind.,Forgive Each Other,Forgive Each Other,Children's Songs
Fort Tabarsi,"Foust, Jeanne (Murday)",From Fort Tabarsi they rode,Fort Tabarsi,Fort Tabarsi,
Fort Tabarsi Chant (in Arabic),Dr. Muhajir,Soboohon Quddusson,Fort,Fort,Holy Words:Non-English Lyrics
Fruits of One Tree,"Dahl, Greg",Ye are all the fruits of one tree.,Fruits of One Tree,Fruits of One Tree,Children's Songs
Give Us Peace,"King-Mock, Beth",Give us peace around the world.,Give Us Peace,Give Us Peace,
Give Us Unity,"Martin, John","Oh my Lord, give us unity",Give Us Unity,Give Us Unity,
God Is Sufficient unto Me,"McCord, Kerry",God is sufficient unto me,God is Sufficient Unto Me Elaine,God is Sufficient Unto Me Elaine,Holy Words
God Is Sufficient unto Me (in Arabic),Price/Fani,Gol Allah Hoyekfee,God is Sufficient Unto Me Price,God is Sufficient Unto Me Price,Holy Words:Non-English Lyrics
God's Creatures,"Rinaldi,Wiley",The creatures of this big world,God's Creatures,God's Creatures,
Good Morning Sun,Babcock/Christian,Good morning sun.  Good morning sun.,Good Morning Sun,Good Morning Sun,Children's Songs
Good Neighbors Come in All Colors,"Grover, Dick",Good neighbors come in all colors,Good Neighbors Come in All Colors,Good Neighbors Come in All Colors,Children's Songs
Guide My Steps Aright,"Mahony, Elika",I adjure Thee by Thy might,Guide My Steps Aright,Guide My Steps Aright,Holy Words
Haji Suliman Khan,Grossman/Quails,I give my life in love for Baha'u'llah,Haji Suliman Khan,Haji Suliman Khan,
Hawaiian Unity Song,Unknown,We are drops of one ocean,Hawaiian Unity Song Eng,Hawaiian Unity Song Eng,Children's Songs:Rounds & Echo Songs
He Who Puts His Trust,Unknown,He who puts his trust in God,He Who Puts his Trust in God,He Who Puts his Trust in God,Holy Words:Rounds & Echo Songs
Healing Prayer,"Losey, Elaine","Thy name is my healing, O my God",Healing Prayer,Healing Prayer,Holy Words
His First Counsel,Losey/King-Mock,Listen to the voice that makes our hearts rejoice,His First Counsel original,His First Counsel original,Holy Words:Rounds & Echo Songs
His First Counsel,"Rinaldi,Wiley",Listen to the voice that makes our hearts rejoice,His First Counsel,His First Counsel,Holy Words:Rounds & Echo Songs
"Hold Thou My Hand, 'Abdu'l-Baha","Faizi, Gloria","Abdu'l-Baha, I'm far from home",Hold Thou My Hand 'Abdu'l-Baha,Hold Thou My Hand 'Abdu'l-Baha,Children's Songs
Hollow Reed,Lincoln/Townshend,"O God, make me a hollow reed",Hollow Reed Lincoln,Hollow Reed Lincoln,
Hollow Reed II,Taylor/Townshend,"O God, make me a hollow reed",Hollow Reed Taylor,Hollow Reed Taylor,
Huququ'llah Song,"Losey, Elaine",We Baha'is are blessed,Huququ'llah,Huququ'llah,
I Adjure Thee By Thy Might,"King-Mock, Beth",I adjure Thee by Thy might,I Adjure Thee,I Adjure Thee,Holy Words:Children's Songs
"I Am, O My God, But a Tiny Seed","Losey, Elaine","I am, O my God, but a tiny seed",I am O MY God,I am O MY God,Holy Words:Children's Songs
I Have Breathed Within Thee,Unknown,I have breathed within thee,I Have Breathed within Thee,I Have Breathed within Thee,Holy Words:Rounds & Echo Songs
I Have Detached Myself From my Kindred,"King-Mock, Beth","O my God, my Lord, and my Master!",I Have Detached Myself from My Kindred,I Have Detached Myself from My Kindred,Holy Words
I Have Found Baha'u'llah,"Moncho, Esther",I have found Baha'u'llah,I Have Found Baha'u'llah,I Have Found Baha'u'llah,Children's Songs
I Love You (Huna Lullaby),"Sterling, Gary",I love you and you love me.,I Love You,I Love You,Children's Songs
I Think You're Wonderful,"Grammer, Red",I think you're wonderful,I Think You're Wonderful,I Think You're Wonderful,Children's Songs
I Want to be Happy,Losey/King-Mock,There is something you must know.,I Want to Be Happy,I Want to Be Happy,Children's Songs
In This Day Baha'u'llah,"Ward, Frederick","In this day, Baha'u'llah",In This Day Baha'u'llah,In This Day Baha'u'llah,
"Intercalary Days, Happy and Merry","Crow, Betty","Happy and merry Intercalary,",Intercalary Days,Intercalary Days,Children's Songs
"Intone, O My Servant","Van Kley, Cindy","Intone, O my servant",Intone O My Servant,Intone O My Servant,Holy Words
I've Got the Baha'i Spirit,Unknown,I've got the Baha'i Spirit right on my head,I've Got the Baha'i Spirit,I've Got the Baha'i Spirit,Children's Songs
Joy (A Round),"Ward, Nancy","Joy, joy, joy",Joy,Joy,Rounds & Echo Songs
"Ka Pule O Ka Moana Nui 
- Prayer of the Pacific (in Hawaiian)",King-Mock/Sperry,E ke Akua Hemolele,Ka Pule o Ka Moana Nui Akea in G,Ka Pule o Ka Moana Nui Akea in G,Holy Words:Non-English Lyrics
Kindness to Animals,"Rinaldi,Wiley",The creatures of this big world,Kindness to Animals,Kindness to Animals,Children's Songs
King of Kings,Unknown,King of Kings and Lord of Lords,King of Kings,King of Kings,Holy Words:Rounds & Echo Songs
Kingdoms of God,"Rhine, Marinell","I'll sing you a rock, can it grow?",Kingdoms of God,Kingdoms of God,Children's Songs
Let Thy Heart Be Dilated,"Ellis, Tara",Let thy heart be dilated,Let Thy Heart be Dilated,Let Thy Heart be Dilated,Holy Words
"Look At Me, Follow Me","Elliot, Jackie","Behold the candle, how it gives its light",Look at Me short,Look at Me short,Holy Words:Children's Songs
"Look At Me, Follow Me",Elliot/Price,"Behold the candle, how it gives its light","Look at Me, Follow Me","Look at Me, Follow Me",Holy Words:Children's Songs
Love Me That I May Love Thee,"Haley, Creadell",Love Me that I may love thee,Love Me that I May Love Thee,Love Me that I May Love Thee,Rounds & Echo Songs
"Love, Love, Love","Haley, Creadell","Love, love, love, love your fellow man","Love, Love, Love","Love, Love, Love",Children's Songs
Magic Penny,"Raynolds, Malvina",A smile is something if you give it away,Magic Penny,Magic Penny,Children's Songs
Make Me More Like You,Engel and Marks,Make me good. I don't want to be bad,Make Me More Like You,Make Me More Like You,Children's Songs
Manifestations of God,"Edwards, Vali","Abraham and Moses, Zoroaster",Manifestations of God,Manifestations of God,Children's Songs
Mele Lokahi O Hawai'i (Unity Song),Traditional Hawaiian,O kakou na kulu kai,Hawaiian Unity Song HI,Hawaiian Unity Song HI,Children's Songs:Rounds & Echo Songs:Non-English Lyrics
Morning Prayer,Lenz/Cameron/Sheper,"I have wakened in Thy shelter, O my God",Morning Prayer,Morning Prayer,Holy Words:Children's Songs
"Muhajier, Persian Pioneer Song",Unknown,Durudeh Bipayaneh Ma,Muhajier,Muhajier,Non-English Lyrics
My Love is My Stronghold,"Rinaldi,Wiley",O Son of Being!  My love is My stronghold,My Love is  My Stronghold original,My Love is  My Stronghold original,Holy Words
My Love is My Stronghold,Losey/King-Mock,O Son of Being!  My love is My stronghold,My Love is My Stronghold,My Love is My Stronghold,Holy Words
Naw Ruz is Here,Unknown,Everybody celebrate.  It's New Year's Day!,Naw Ruz is here,Naw Ruz is here,Children's Songs
O Baha'u'llah,Dahl/Field,O Baha'u'llah!  O Baha'u'llah,O Baha'u'llah,O Baha'u'llah,
O God! Educate These Children,Unknown,O God! Educate these children,O God Educate these Children,O God Educate these Children,Holy Words:Children's Songs
"O God, Guide Me","Gilmer, Van","O God, guide me, protect me",O God Guide Me Elaine's,O God Guide Me Elaine's,Holy Words:Children's Songs
Oh Lord I Adore Thee,Unknown,"Oh Lord, I adore Thee",O Lord I Adore Thee,O Lord I Adore Thee,Holy Words:Children's Songs:Rounds & Echo Songs
Open Thou the Door,Unknown,O Lord my God!  Open Thou the door,Open Thou the Door,Open Thou the Door,
